,pitch_type,balls,strikes,outs_when_up,inning,game_pk,on_base,prev_plate_x,prev_plate_z,stand_R,prev_type_B,prev_type_S,prev_type_X,score_diff
16071,1,0,1,2,1,347712,1,1.6,1.29,1,1,0,0,0
16072,1,0,0,2,1,347712,1,-0.61,1.76,1,0,1,0,0
16073,0,0,2,1,1,347712,1,0.48,2.58,1,0,1,0,0
16074,1,0,1,1,1,347712,1,-0.76,2.12,1,0,0,1,0
16075,1,0,0,1,1,347712,1,0.26,2.25,1,0,1,0,0
16076,1,1,1,1,1,347712,0,0.31,1.53,1,0,1,0,0
16077,1,1,0,1,1,347712,0,-0.34,2.09,1,0,0,1,0
16078,1,0,0,1,1,347712,0,0.67,1.63,1,0,1,0,0
16079,1,0,2,0,1,347712,0,-1.16,3.54,0,1,0,0,0
16080,1,0,1,0,1,347712,0,0.12,2.49,0,0,1,0,0
16081,1,0,0,0,1,347712,0,0.23,2.99,0,0,1,0,0
16055,1,0,0,2,2,347712,2,0.02,2.77,0,0,1,0,0
16056,1,1,0,1,2,347712,2,0.42,2.8,0,0,1,0,0
16057,1,0,0,1,2,347712,2,0.63,2.68,0,0,0,1,0
16058,1,0,0,1,2,347712,1,0.92,2.01,1,1,0,0,0
16059,1,0,2,0,2,347712,1,-0.25,2.46,0,0,0,1,0
16060,0,0,1,0,2,347712,1,0.69,3.01,0,0,0,1,0
16061,1,0,0,0,2,347712,1,-0.09,2.52,0,0,1,0,0
16062,1,0,1,0,2,347712,0,-0.49,2.81,0,0,1,0,0
16063,1,0,0,0,2,347712,0,-0.72,2.43,0,0,0,1,0
16046,1,0,0,1,3,347712,0,-0.68,2.5,1,0,1,0,2
16047,1,0,0,0,3,347712,0,1.58,1.97,1,1,0,0,2
16031,1,0,2,0,5,347712,0,-1.24,2.52,0,1,0,0,2
16032,1,0,1,0,5,347712,0,1.21,3.22,0,1,0,0,2
16033,1,0,0,0,5,347712,0,0.2,1.85,0,0,1,0,2
16017,0,0,1,1,6,347712,0,0.38,2.27,1,1,0,0,4
16018,1,0,0,1,6,347712,0,1.7,0.57,1,1,0,0,4
16019,0,2,2,0,6,347712,0,-0.9,1.98,1,0,1,0,4
