,pitch_type,balls,strikes,outs_when_up,inning,game_pk,on_base,prev_pitch_type,prev_plate_x,prev_plate_z,stand_R,prev_type_B,prev_type_S,prev_type_X,score_diff
19268,0,1,2,1,1,234522,1,0,,,1,1,0,0,-1
19269,0,1,2,1,1,234522,1,0,,,1,0,1,0,-1
19270,0,1,1,1,1,234522,1,0,,,1,0,1,0,-1
19271,0,0,1,1,1,234522,1,0,,,1,0,1,0,-1
19272,0,0,0,1,1,234522,1,0,,,1,1,0,0,-1
19273,0,3,2,1,1,234522,1,0,,,1,0,1,0,0
19274,0,3,2,1,1,234522,1,0,,,1,0,0,1,0
19275,0,3,2,1,1,234522,1,0,,,1,0,1,0,0
19276,0,2,2,1,1,234522,1,0,,,1,0,1,0,0
19277,0,2,1,1,1,234522,1,0,,,1,1,0,0,0
19278,0,2,0,1,1,234522,1,0,,,1,0,1,0,0
19279,0,1,0,1,1,234522,1,0,,,1,0,1,0,0
19280,0,0,0,1,1,234522,1,0,,,1,1,0,0,0
19281,0,3,0,1,1,234522,0,0,,,1,1,0,0,0
19282,0,2,0,1,1,234522,0,0,,,1,1,0,0,0
19283,0,1,0,1,1,234522,0,0,,,1,1,0,0,0
19284,0,0,0,1,1,234522,0,0,,,1,1,0,0,0
19285,0,1,2,0,1,234522,0,0,,,0,1,0,0,0
19286,0,1,2,0,1,234522,0,0,,,0,0,1,0,0
19287,0,1,2,0,1,234522,0,0,,,0,0,1,0,0
19288,0,1,2,0,1,234522,0,0,,,0,0,1,0,0
19289,0,1,1,0,1,234522,0,0,,,0,0,1,0,0
19290,0,1,0,0,1,234522,0,0,,,0,0,1,0,0
19291,0,0,0,0,1,234522,0,0,,,0,0,1,0,0
19256,0,0,1,1,2,234522,0,1,0.8,2.68,1,0,1,0,0
19257,1,0,0,1,2,234522,0,0,1.26,2.01,1,1,0,0,0
19258,1,1,0,0,2,234522,0,1,0.83,2.5,1,0,1,0,0
19259,1,0,0,0,2,234522,0,1,0.36,1.8,1,0,0,1,0
19246,0,0,1,0,3,234522,0,1,0.4,2.67,1,0,1,0,0
19247,1,0,0,0,3,234522,0,0,-0.77,1.9,1,1,0,0,0
19235,0,1,1,0,4,234522,0,0,0.55,2.81,1,0,0,1,0
19236,1,1,0,0,4,234522,0,0,0.37,2.0,1,0,1,0,0
