,pitch_type,balls,strikes,outs_when_up,inning,game_pk,on_base,prev_pitch_type,prev_plate_x,prev_plate_z,stand_R,prev_type_B,prev_type_S,prev_type_X,score_diff
14353,0,0,1,1,2,112,2,0,,,0,0,1,0,0
14354,0,0,0,1,2,112,2,0,,,0,1,0,0,0
14355,0,0,1,1,2,112,1,0,,,1,0,1,0,0
14356,0,0,0,1,2,112,1,0,,,1,0,0,1,0
14357,0,1,2,0,2,112,1,0,,,0,0,1,0,0
14358,0,1,2,0,2,112,1,0,,,0,0,1,0,0
14359,0,0,2,0,2,112,1,0,,,0,0,1,0,0
14360,0,0,1,0,2,112,1,0,,,0,1,0,0,0
14361,0,0,0,0,2,112,1,0,,,0,0,1,0,0
14362,0,3,1,0,2,112,0,0,,,1,0,1,0,0
14363,0,2,1,0,2,112,0,0,,,1,0,0,1,0
14364,0,1,1,0,2,112,0,0,,,1,1,0,0,0
14365,0,1,0,0,2,112,0,0,,,1,1,0,0,0
14366,0,0,0,0,2,112,0,0,,,1,0,1,0,0
14333,0,0,0,2,3,112,2,0,,,0,0,1,0,0
14334,0,0,0,2,3,112,1,0,,,1,0,1,0,0
14335,0,1,0,1,3,112,1,0,,,0,0,0,1,0
14336,0,0,0,1,3,112,1,0,,,0,0,0,1,0
14337,0,1,1,1,3,112,0,0,,,1,1,0,0,0
14338,0,1,0,1,3,112,0,0,,,1,0,0,1,0
14339,0,0,0,1,3,112,0,0,,,1,0,1,0,0
14340,0,1,2,0,3,112,0,0,,,0,1,0,0,0
14341,0,1,2,0,3,112,0,0,,,0,0,1,0,0
14342,0,1,1,0,3,112,0,0,,,0,0,1,0,0
14343,0,0,1,0,3,112,0,0,,,0,0,1,0,0
14344,0,0,0,0,3,112,0,0,,,0,1,0,0,0
14318,0,0,1,0,5,112,0,0,,,1,1,0,0,1
14319,0,0,0,0,5,112,0,0,,,1,0,0,1,1
14294,0,0,0,0,6,112,2,0,,,1,0,0,1,-2
14295,0,0,0,0,6,112,2,0,,,0,0,0,1,-1
14296,0,1,2,0,6,112,1,0,,,1,0,0,1,-1
14297,0,0,2,0,6,112,1,0,,,1,0,0,1,-1
14298,0,0,1,0,6,112,1,0,,,1,1,0,0,-1
14299,0,0,0,0,6,112,1,0,,,1,0,1,0,-1
14300,0,0,2,0,6,112,1,0,,,0,0,1,0,0
14301,0,0,1,0,6,112,1,0,,,0,0,0,1,0
14302,0,0,0,0,6,112,1,0,,,0,0,1,0,0
14303,0,1,0,0,6,112,0,0,,,1,0,1,0,0
14304,0,0,0,0,6,112,0,0,,,1,0,0,1,0
14305,0,2,2,0,6,112,0,0,,,0,1,0,0,1
14306,0,2,1,0,6,112,0,0,,,0,0,0,1,1
14307,0,2,0,0,6,112,0,0,,,0,0,1,0,1
14308,0,1,0,0,6,112,0,0,,,0,0,1,0,1
14309,0,0,0,0,6,112,0,0,,,0,1,0,0,1
14179,0,1,0,1,1,113,0,0,,,0,1,0,0,0
14180,0,0,0,1,1,113,0,0,,,0,0,0,1,0
14181,0,0,0,0,1,113,0,0,,,1,1,0,0,0
14162,0,0,0,1,2,113,2,0,,,1,1,0,0,0
14163,0,0,1,1,2,113,1,0,,,1,1,0,0,0
14164,0,0,0,1,2,113,1,0,,,1,0,0,1,0
14165,0,0,0,1,2,113,0,0,,,1,0,1,0,0
14166,0,1,2,0,2,113,0,0,,,0,1,0,0,0
14167,0,1,2,0,2,113,0,0,,,0,0,0,1,0
14168,0,0,2,0,2,113,0,0,,,0,0,1,0,0
14169,0,0,1,0,2,113,0,0,,,0,1,0,0,0
14170,0,0,0,0,2,113,0,0,,,0,0,1,0,0
14147,0,0,0,1,3,113,1,0,,,1,1,0,0,0
14148,0,0,2,0,3,113,1,0,,,0,0,1,0,0
14149,0,0,1,0,3,113,1,0,,,0,0,1,0,0
14150,0,0,0,0,3,113,1,0,,,0,0,1,0,0
14151,0,1,1,0,3,113,0,0,,,0,0,1,0,0
14152,0,0,1,0,3,113,0,0,,,0,0,0,1,0
14153,0,0,0,0,3,113,0,0,,,0,1,0,0,0
14136,0,1,1,0,4,113,0,0,,,1,0,1,0,0
14137,0,0,1,0,4,113,0,0,,,1,1,0,0,0
14138,0,0,0,0,4,113,0,0,,,1,1,0,0,0
14114,0,0,1,2,5,113,2,0,,,1,0,0,1,0
14115,0,0,0,2,5,113,2,0,,,1,0,1,0,0
14116,0,2,1,1,5,113,2,0,,,0,0,1,0,0
14117,0,1,1,1,5,113,2,0,,,0,0,0,1,0
14118,0,0,1,1,5,113,2,0,,,0,1,0,0,0
14119,0,0,0,1,5,113,2,0,,,0,1,0,0,0
14120,0,1,0,0,5,113,2,0,,,0,0,1,0,0
14121,0,0,0,0,5,113,2,0,,,0,0,0,1,0
14122,0,3,1,0,5,113,1,0,,,1,1,0,0,0
14123,0,2,1,0,5,113,1,0,,,1,0,0,1,0
14124,0,1,1,0,5,113,1,0,,,1,1,0,0,0
14125,0,1,0,0,5,113,1,0,,,1,1,0,0,0
14126,0,0,0,0,5,113,1,0,,,1,0,1,0,0
14127,0,0,0,0,5,113,0,0,,,1,1,0,0,0
14105,0,0,0,0,6,113,0,0,,,1,1,0,0,-2
14096,0,0,0,0,7,113,0,0,,,0,0,0,1,-2
12828,0,0,0,2,2,147,2,0,,,1,1,0,0,1
12829,0,0,1,1,2,147,2,0,,,1,1,0,0,1
12830,0,0,0,1,2,147,2,0,,,1,0,0,1,1
12831,0,0,0,0,2,147,2,0,,,0,0,1,0,1
12832,0,3,1,0,2,147,1,0,,,0,0,0,1,1
12833,0,3,0,0,2,147,1,0,,,0,1,0,0,1
12834,0,2,0,0,2,147,1,0,,,0,0,1,0,1
12835,0,1,0,0,2,147,1,0,,,0,1,0,0,1
12836,0,0,0,0,2,147,1,0,,,0,1,0,0,1
12837,0,1,1,0,2,147,0,0,,,0,1,0,0,1
12838,0,0,1,0,2,147,0,0,,,0,0,0,1,1
12839,0,0,0,0,2,147,0,0,,,0,1,0,0,1
12816,0,2,1,0,3,147,0,0,,,1,1,0,0,0
12817,0,2,0,0,3,147,0,0,,,1,0,0,1,0
