,pitch_type,balls,strikes,outs_when_up,inning,game_pk,on_base,prev_pitch_type,prev_plate_x,prev_plate_z,stand_R,prev_type_B,prev_type_S,prev_type_X,score_diff
18252,1,0,0,1,4,234156,0,1,-1.09,2.4,0,0,1,0,-4
18253,1,0,0,0,4,234156,0,1,-1.09,3.13,0,1,0,0,-4
18242,0,1,0,0,5,234156,0,1,0.37,3.53,0,0,1,0,-3
18243,1,0,0,0,5,234156,0,0,0.19,2.05,0,0,1,0,-3
18229,0,0,0,1,6,234156,0,1,-0.34,2.74,1,0,1,0,-3
18230,1,0,2,0,6,234156,0,0,-1.08,2.18,0,1,0,0,-3
18231,1,0,2,0,6,234156,0,1,0.38,3.82,0,0,1,0,-3
18232,1,0,1,0,6,234156,0,1,-0.45,3.26,0,0,1,0,-3
18233,1,0,0,0,6,234156,0,1,0.3,2.18,0,0,1,0,-3
18203,1,1,0,1,1,234241,2,0,-0.54,1.6,0,1,0,0,0
18204,1,0,0,1,1,234241,2,1,-0.4,2.19,0,0,0,1,0
18205,1,2,2,0,1,234241,2,1,-0.27,1.68,0,1,0,0,0
18206,0,2,1,0,1,234241,2,1,-0.48,1.36,0,0,0,1,0
18207,0,1,1,0,1,234241,2,0,,,0,0,1,0,0
18208,0,0,1,0,1,234241,2,0,,,0,1,0,0,0
18209,0,0,0,0,1,234241,2,0,,,0,1,0,0,0
18210,1,0,0,0,1,234241,1,0,,,1,0,1,0,0
18211,1,1,0,0,1,234241,0,1,-2.52,3.62,0,1,0,0,0
18212,1,0,0,0,1,234241,0,1,-0.72,2.44,0,0,0,1,0
18186,1,0,0,1,2,234241,1,1,-0.88,1.97,1,0,1,0,-1
18187,1,1,2,0,2,234241,1,1,0.05,3.27,1,0,1,0,-1
18188,0,1,2,0,2,234241,1,1,-0.11,4.68,1,0,1,0,-1
18189,1,1,1,0,2,234241,1,0,-0.21,1.06,1,0,1,0,-1
18190,1,0,1,0,2,234241,1,1,-0.37,2.13,1,0,1,0,-1
18191,1,0,0,0,2,234241,1,1,-1.74,3.13,1,1,0,0,-1
18192,1,1,1,0,2,234241,0,1,-0.53,2.48,0,0,1,0,-1
18193,0,1,0,0,2,234241,0,1,-0.13,2.23,0,0,0,1,-1
18194,1,0,0,0,2,234241,0,0,-0.51,1.46,0,0,1,0,-1
18151,1,1,2,2,3,234241,2,0,-0.57,2.86,1,0,0,1,-2
18152,1,1,1,2,3,234241,2,1,0.12,2.19,1,0,1,0,-2
18153,0,1,0,2,3,234241,2,1,1.06,3.34,1,0,1,0,-2
18154,0,0,0,2,3,234241,2,0,0.52,1.78,1,0,1,0,-2
18155,1,2,1,2,3,234241,2,0,1.01,1.14,1,1,0,0,-1
18156,0,1,1,2,3,234241,2,1,0.02,2.38,1,0,0,1,-1
18157,1,1,0,2,3,234241,2,0,0.5,-0.16,1,1,0,0,-1
18158,1,0,0,2,3,234241,2,1,-0.69,3.16,1,0,1,0,-1
18159,1,1,1,2,3,234241,2,1,-0.95,1.71,0,1,0,0,0
18160,0,0,1,2,3,234241,2,1,-0.71,1.84,0,0,0,1,0
18161,1,0,0,2,3,234241,2,0,-1.1,1.05,0,1,0,0,0
18162,1,1,2,1,3,234241,2,1,-1.25,3.03,1,0,1,0,0
18163,1,0,2,1,3,234241,2,1,-1.32,2.65,1,0,1,0,0
18164,0,0,1,1,3,234241,2,1,-1.09,4.83,1,1,0,0,0
18165,1,0,0,1,3,234241,2,0,-0.67,3.08,1,0,1,0,0
18166,1,3,0,1,3,234241,1,1,-0.86,2.73,0,0,1,0,0
18167,1,2,0,1,3,234241,1,1,-1.98,2.61,0,1,0,0,0
18168,0,1,0,1,3,234241,1,1,-1.37,1.96,0,1,0,0,0
18169,0,0,0,1,3,234241,1,0,-1.5,0.88,0,1,0,0,0
18170,1,0,1,1,3,234241,0,0,-0.64,1.24,0,1,0,0,0
18171,1,0,0,1,3,234241,0,1,-0.38,1.95,0,0,0,1,0
18172,1,3,2,0,3,234241,0,1,-0.56,2.6,1,0,1,0,0
18173,1,3,1,0,3,234241,0,1,-0.89,2.24,1,0,0,1,0
18174,1,2,1,0,3,234241,0,1,-0.05,1.86,1,0,1,0,0
18175,1,2,0,0,3,234241,0,1,-0.09,1.54,1,1,0,0,0
18176,1,1,0,0,3,234241,0,1,-0.28,3.23,1,0,1,0,0
18177,0,0,0,0,3,234241,0,1,0.05,1.52,1,1,0,0,0
18129,1,0,0,1,4,234241,1,1,-0.23,2.55,0,0,1,0,-4
18130,1,3,2,1,4,234241,0,1,-1.35,2.32,0,0,1,0,-4
18131,1,3,1,1,4,234241,0,1,0.24,1.14,0,1,0,0,-4
18132,1,2,1,1,4,234241,0,1,-0.5,3.1,0,0,1,0,-4
18133,0,1,1,1,4,234241,0,1,-1.48,2.08,0,1,0,0,-4
18134,0,0,1,1,4,234241,0,0,-2.12,2.46,0,1,0,0,-4
18135,1,0,0,1,4,234241,0,0,-1.32,1.08,0,1,0,0,-4
18136,1,3,2,0,4,234241,0,1,0.16,2.02,1,0,1,0,-4
18137,1,3,2,0,4,234241,0,1,-0.09,2.64,1,0,0,1,-4
18138,1,2,2,0,4,234241,0,1,-0.43,2.84,1,0,1,0,-4
18139,1,2,1,0,4,234241,0,1,-2.57,1.56,1,1,0,0,-4
18140,1,1,1,0,4,234241,0,1,-1.25,2.35,1,0,1,0,-4
18141,1,1,0,0,4,234241,0,1,0.86,1.78,1,1,0,0,-4
18142,1,0,0,0,4,234241,0,1,0.56,2.02,1,0,1,0,-4
18119,0,0,1,0,1,234302,0,1,0.37,3.28,1,0,1,0,0
18120,1,0,0,0,1,234302,0,0,-0.32,1.4,1,0,1,0,0
18106,1,1,1,0,2,234302,1,0,1.29,1.66,0,1,0,0,0
18107,1,0,1,0,2,234302,1,1,-0.37,2.38,0,0,0,1,0
18108,1,0,0,0,2,234302,1,1,-1.37,2.46,0,1,0,0,0
18109,0,0,1,0,2,234302,0,1,-0.8,2.71,1,0,1,0,0
18110,1,0,0,0,2,234302,0,0,0.24,2.7,1,0,0,1,0
18090,0,1,2,1,3,234302,0,0,-0.9,2.76,1,0,0,1,0
18091,0,0,2,1,3,234302,0,0,,,1,0,1,0,0
18092,0,0,1,1,3,234302,0,0,,,1,1,0,0,0
18093,0,0,0,1,3,234302,0,0,,,1,0,1,0,0
18094,1,1,2,0,3,234302,0,0,,,1,0,1,0,0
18095,1,1,1,0,3,234302,0,1,0.4,2.72,1,0,1,0,0
18096,1,0,1,0,3,234302,0,1,0.3,1.59,1,0,1,0,0
18097,1,0,0,0,3,234302,0,1,1.52,2.92,1,1,0,0,0
18070,0,0,1,1,4,234302,2,0,-1.1,2.38,1,1,0,0,-1
18071,1,0,0,1,4,234302,2,0,1.05,1.35,1,1,0,0,-1
18072,1,3,0,1,4,234302,1,1,0.33,3.27,0,0,1,0,-1
18073,1,2,0,1,4,234302,1,1,-1.31,2.51,0,1,0,0,-1
18074,0,1,0,1,4,234302,1,1,-0.95,1.75,0,1,0,0,-1
18075,1,0,0,1,4,234302,1,0,-1.38,2.68,0,1,0,0,-1
18076,0,1,2,0,4,234302,1,1,-1.89,2.82,1,1,0,0,-1
18077,1,0,2,0,4,234302,1,0,-0.14,2.46,1,0,0,1,-1
18078,1,0,1,0,4,234302,1,1,1.16,4.49,1,1,0,0,-1
18079,1,0,0,0,4,234302,1,1,-0.08,3.41,1,0,1,0,-1
18080,1,1,0,0,4,234302,0,1,-0.41,2.95,1,0,1,0,-1
18081,1,0,0,0,4,234302,0,1,0.82,2.88,1,0,0,1,-1
18060,1,1,0,0,5,234302,0,0,-1.54,4.4,1,1,0,0,-1
18061,1,0,0,0,5,234302,0,1,0.71,1.72,1,0,1,0,-1
18047,1,0,0,1,6,234302,0,1,-0.3,1.83,0,0,1,0,1
18048,1,1,2,0,6,234302,0,1,-2.02,2.25,1,1,0,0,1
18049,1,1,1,0,6,234302,0,1,0.98,2.91,1,0,1,0,1
18050,1,0,1,0,6,234302,0,1,0.36,3.62,1,0,1,0,1
18051,1,0,0,0,6,234302,0,1,1.12,3.09,1,1,0,0,1
18031,1,3,1,1,1,234402,0,1,-0.53,2.2,0,0,0,1,0
18032,1,3,0,1,1,234402,0,1,-0.06,2.93,0,0,1,0,0
18033,1,2,0,1,1,234402,0,1,0.23,3.35,0,0,1,0,0
